ID,korisnik,aktivnost,datum,trajanje_min,kalorije,otkucaji,deleted
6771,Marija Marković,Plivanje,2025-09-26,131,1395,116,0
6772,Stefan Petrović,Joga,2025-09-12,119,1318,156,0
6773,Ivana Tadić,Plivanje,2025-04-05,128,677,92,0
6774,Marija Lukić,Joga,2024-01-11,14,880,134,0
6775,Dragana Milošević,Plivanje,2024-09-05,32,683,133,0
6776,Miloš Knežević,Plivanje,2024-11-08,63,957,179,0
6777,Nemanja Tadić,Teretana,2024-01-15,130,1246,154,0
6778,Dragana Vukić,Trčanje,2025-10-13,19,219,150,0
6779,Marko Janković,Joga,2025-06-28,161,131,168,0
6780,Kristina Jovanović,Trčanje,2025-08-28,162,1105,108,0
6781,Milica Vuković,Teretana,2024-02-01,98,933,133,0
6782,Marija Popović,Teretana,2024-07-02,156,167,154,0
6783,Jovana Tadić,Plivanje,2025-03-02,147,1303,190,0
6784,Stefanija Popović,Joga,2025-12-14,160,525,186,0
6785,Tanja Ristić,Biciklizam,2024-09-22,73,999,75,0
6786,Vesna Stanković,Trčanje,2024-03-27,79,1088,104,0
6787,Kristina Aleksić,Plivanje,2024-06-07,144,695,94,0
6788,Luka Stanković,Teretana,2024-07-06,153,264,89,0
6789,Nemanja Đorđević,Plivanje,2024-09-12,88,177,170,0
6790,Marija Pavlović,Teretana,2025-12-07,47,502,102,0
6791,Ana Stanković,Joga,2025-07-29,90,884,194,0
6792,Marko Vuković,Teretana,2024-08-12,103,1080,130,0
6793,Ana Ilić,Joga,2025-10-12,40,1084,117,0
6794,Aleksa Pavlović,Joga,2024-06-04,121,1246,169,0
6795,Ana Lukić,Joga,2024-06-19,78,1432,88,0
6796,Katarina Vukić,Biciklizam,2024-12-19,161,464,105,0
6797,Nikolina Vuković,Biciklizam,2025-06-02,52,1409,176,0
6798,Vladimir Stojić,Biciklizam,2024-09-29,169,187,80,0
6799,Milica Ristić,Plivanje,2025-09-21,54,209,172,0
6800,Ivana Ilić,Teretana,2024-01-30,164,953,107,0
6801,Aleksa Popović,Plivanje,2025-05-21,152,753,102,0
6802,Aleksa Dimitrijević,Joga,2024-01-11,88,598,107,0
6803,Vesna Aleksić,Biciklizam,2024-03-01,120,1499,197,0
6804,Filip Božić,Teretana,2025-08-07,172,420,69,0
6805,Marija Petrović,Trčanje,2024-04-18,171,407,139,0
6806,Stefan Jovanović,Joga,2024-10-03,119,830,188,0
6807,Filip Nikolić,Joga,2025-12-21,69,340,147,0
6808,Sara Pavlović,Biciklizam,2024-01-03,124,195,98,0
6809,Aleksandar Simić,Joga,2024-09-02,134,1199,175,0
6810,Miloš Miladinović,Trčanje,2025-09-24,44,1346,170,0
6811,Milica Miladinović,Trčanje,2025-08-20,57,92,180,0
6812,Filip Simić,Trčanje,2024-06-25,66,1154,162,0
6813,Kristina Radović,Joga,2024-06-08,59,434,121,0
6814,Tanja Marković,Trčanje,2024-04-09,135,1072,108,0
6815,Aleksandar Vuković,Biciklizam,2025-11-23,32,1283,106,0
6816,Sara Jovanović,Plivanje,2025-08-09,33,604,182,0
6817,Jelena Radanović,Trčanje,2024-08-31,93,1018,115,0
6818,Aleksandar Đorđević,Biciklizam,2025-05-12,86,509,190,0
6819,Danijel Marković,Teretana,2025-04-09,86,581,67,0
6820,Milan Vasić,Joga,2025-09-21,104,987,60,0
6821,Nemanja Vuković,Trčanje,2024-04-03,116,941,139,0
6822,Jovana Aleksić,Plivanje,2024-09-21,57,1319,150,0
6823,Marko Vukić,Joga,2025-06-30,64,415,132,0
6824,Vesna Marković,Biciklizam,2025-09-08,103,560,120,0
6825,Nikolina Ilić,Trčanje,2024-07-18,89,81,95,0
6826,Petar Jovanović,Biciklizam,2024-08-22,178,1038,139,0
6827,Katarina Petrović,Joga,2024-09-09,56,247,199,0
6828,Vladimir Marković,Teretana,2024-02-08,167,149,66,0
6829,Marko Aleksić,Joga,2024-04-29,154,258,72,0
6830,Nemanja Simić,Biciklizam,2025-02-12,150,477,177,0
6831,Jovana Knežević,Biciklizam,2024-05-24,131,1226,200,0
6832,Aleksandar Lukić,Trčanje,2025-12-10,68,634,77,0
6833,Kristina Ristić,Trčanje,2024-04-20,144,139,171,0
6834,Stefanija Radović,Plivanje,2025-01-07,44,772,151,0
6835,Sara Knežević,Trčanje,2025-09-23,173,717,131,0
6836,Stefanija Simić,Biciklizam,2024-12-30,57,72,65,0
6837,Tanja Đorđević,Plivanje,2025-01-05,31,531,105,0
6838,Filip Pavlović,Biciklizam,2025-07-08,16,190,97,0
6839,Aleksa Milošević,Trčanje,2025-10-07,19,147,139,0
6840,Ana Jovanović,Biciklizam,2025-12-24,52,213,119,0
6841,Milica Milenković,Biciklizam,2025-02-15,166,548,108,0
6842,Luka Kovačević,Teretana,2024-09-29,52,638,75,0
6843,Nikolina Milošević,Biciklizam,2024-04-21,146,1489,121,0
6844,Marko Petrović,Trčanje,2025-07-30,61,771,77,0
6845,Marko Ristić,Biciklizam,2024-04-07,11,913,179,0
6846,Marko Popović,Plivanje,2024-08-26,20,1233,96,0
6847,Katarina Božić,Joga,2025-12-06,89,803,144,0
6848,Ivana Dimitrijević,Joga,2024-03-06,114,917,101,0
6849,Nemanja Radanović,Teretana,2024-08-13,137,479,92,0
6850,Ivana Matić,Teretana,2024-03-19,99,760,111,0
6851,Nikolina Marković,Biciklizam,2025-03-12,77,457,90,0
6852,Petar Dimitrijević,Joga,2025-08-03,74,860,104,0
6853,Sara Ristić,Plivanje,2025-12-19,86,1029,155,0
6854,Ivana Stojić,Joga,2025-02-14,106,650,91,0
6855,Ivana Lukić,Teretana,2024-11-04,180,1424,79,0
6856,Petar Kovačević,Joga,2025-05-20,163,173,91,0
6857,Katarina Aleksić,Trčanje,2025-01-24,71,750,145,0
6858,Jovana Radanović,Joga,2024-06-09,106,553,167,0
6859,Danijel Kovačević,Biciklizam,2025-10-10,17,417,165,0
6860,Dragana Vuković,Trčanje,2024-09-17,106,726,110,0
6861,Jovana Pavlović,Joga,2024-02-07,33,1353,113,0
6862,Marija Miladinović,Teretana,2024-06-08,40,204,99,0
6863,Milan Božić,Joga,2024-04-22,42,649,153,0
6864,Ivana Vukić,Trčanje,2024-11-21,15,928,111,0
6865,Tanja Vuković,Teretana,2024-04-22,123,958,100,0
6866,Jelena Vasić,Teretana,2025-03-18,43,1427,159,0
6867,Nemanja Petrović,Plivanje,2025-03-14,30,996,103,0
6868,Ivana Ristić,Joga,2024-09-23,140,283,126,0
6869,Vesna Milenković,Teretana,2025-08-17,117,266,87,0
6870,Jovana Miladinović,Biciklizam,2025-05-12,129,1057,105,0
6871,Kristina Kovačević,Trčanje,2025-05-12,101,842,129,0
6872,Milan Jovanović,Trčanje,2024-10-18,160,154,185,0
6873,Nikola Vukić,Plivanje,2024-09-10,132,1261,181,0
6874,Katarina Vasić,Teretana,2025-09-09,11,367,107,0
6875,Milan Miladinović,Plivanje,2024-06-19,120,411,88,0
6876,Stefan Nikolić,Trčanje,2024-08-06,107,805,171,0
6877,Luka Đorđević,Plivanje,2025-09-06,70,329,159,0
6878,Dragana Petrović,Teretana,2024-02-12,160,1084,107,0
6879,Jovana Dimitrijević,Plivanje,2025-07-25,151,849,135,0
6880,Jovana Radović,Plivanje,2025-07-10,125,918,119,0
6881,Dragana Miladinović,Teretana,2024-05-11,43,564,137,0
6882,Nikola Jovanović,Plivanje,2025-10-13,90,1486,128,0
6883,Vladimir Petrović,Teretana,2025-05-12,178,977,82,0
6884,Petar Janković,Plivanje,2025-03-10,29,843,114,0
6885,Tanja Matić,Plivanje,2025-10-15,97,382,62,0
6886,Katarina Vuković,Plivanje,2025-06-23,47,892,151,0
6887,Marko Matić,Joga,2024-11-05,123,327,87,0
6888,Jelena Matić,Plivanje,2024-06-22,143,465,156,0
6889,Miloš Aleksić,Plivanje,2025-10-10,135,294,146,0
6890,Aleksa Matić,Biciklizam,2024-10-23,179,532,172,0
6891,Stefanija Radanović,Plivanje,2025-03-04,158,675,129,0
6892,Marija Ilić,Teretana,2024-04-29,164,1008,75,0
6893,Miloš Popović,Joga,2024-06-07,13,276,147,0
6894,Milan Kovačević,Teretana,2025-12-26,120,348,170,0
6895,Sara Janković,Plivanje,2024-07-17,104,1011,159,0
6896,Luka Božić,Trčanje,2024-03-06,132,349,127,0
6897,Milica Vukić,Biciklizam,2024-11-19,159,1489,130,0
6898,Milica Božić,Joga,2024-10-16,75,1451,156,0
6899,Marija Đorđević,Plivanje,2024-09-20,162,1049,180,0
6900,Nikola Radović,Joga,2025-03-19,130,1300,165,0
6901,Luka Jovanović,Plivanje,2024-07-15,148,110,138,0
6902,Danijel Janković,Biciklizam,2025-06-25,162,94,159,0
6903,Nikolina Dimitrijević,Plivanje,2025-02-07,148,96,71,0
6904,Stefan Radović,Teretana,2024-01-30,17,841,156,0
6905,Luka Petrović,Plivanje,2025-12-29,66,1305,83,0
6906,Stefanija Đorđević,Trčanje,2025-06-18,85,758,199,0
6907,Marko Radović,Plivanje,2025-10-03,133,1102,104,0
6908,Sara Petrović,Teretana,2025-05-31,125,442,104,0
6909,Sara Radović,Trčanje,2024-05-24,120,1397,128,0
6910,Vesna Božić,Joga,2025-06-22,167,480,171,0
6911,Dragana Božić,Teretana,2025-11-25,27,1288,161,0
6912,Ivana Janković,Biciklizam,2024-05-31,135,1343,111,0
6913,Vesna Knežević,Trčanje,2025-11-14,121,140,82,0
6914,Marija Vuković,Plivanje,2025-10-02,38,609,102,0
6915,Danijel Milenković,Trčanje,2025-02-07,71,1222,68,0
6916,Teodora Ristić,Teretana,2024-10-10,168,56,141,0
6917,Jelena Vukić,Teretana,2024-08-30,165,449,70,0
6918,Filip Stojić,Trčanje,2025-06-18,110,202,103,0
6919,Ivana Popović,Plivanje,2025-04-16,39,551,190,0
6920,Sara Tadić,Teretana,2025-03-03,73,1032,87,0
6921,Jelena Lukić,Teretana,2024-05-22,56,548,166,0
6922,Petar Miladinović,Teretana,2025-09-14,103,1075,140,0
6923,Teodora Vasić,Trčanje,2025-10-28,62,1271,65,0
6924,Miloš Radović,Teretana,2024-07-03,109,291,167,0
6925,Nikolina Ristić,Biciklizam,2025-12-19,149,827,140,0
6926,Aleksa Kovačević,Trčanje,2024-08-07,147,1159,104,0
6927,Filip Jovanović,Teretana,2024-02-15,36,334,152,0
6928,Marija Radanović,Plivanje,2025-07-12,65,1336,149,0
6929,Nikola Vasić,Trčanje,2025-02-08,20,144,189,0
6930,Petar Milenković,Trčanje,2025-12-27,77,615,94,0
6931,Nemanja Popović,Biciklizam,2024-03-26,171,795,171,0
6932,Ivana Miladinović,Teretana,2025-07-12,147,1362,138,0
6933,Nikola Dimitrijević,Teretana,2025-05-07,114,743,74,0
6934,Aleksa Radović,Plivanje,2025-03-29,44,435,166,0
6935,Ivana Aleksić,Plivanje,2024-06-11,27,1171,137,0
6936,Vladimir Vuković,Trčanje,2024-11-21,122,1322,169,0
6937,Nemanja Miladinović,Plivanje,2025-10-02,73,851,114,0
6938,Petar Vasić,Trčanje,2024-04-06,77,583,107,0
6939,Vladimir Božić,Plivanje,2025-09-20,165,571,83,0
6940,Aleksa Ristić,Plivanje,2025-10-20,173,438,145,0
6941,Nikolina Đorđević,Joga,2025-08-17,114,336,167,0
6942,Marko Petrović,Plivanje,2025-08-29,14,1052,102,0
6943,Nikola Stojić,Trčanje,2024-04-04,167,1164,124,0
6944,Ivana Ristić,Biciklizam,2025-03-05,121,197,121,0
6945,Nikola Kovačević,Trčanje,2025-11-30,17,1434,90,0
6946,Filip Lukić,Joga,2025-04-04,179,626,149,0
6947,Vesna Matić,Teretana,2024-09-01,48,1317,180,0
6948,Milan Janković,Plivanje,2025-09-05,150,645,186,0
6949,Danijel Jovanović,Joga,2025-10-05,53,277,155,0
6950,Petar Pavlović,Trčanje,2024-09-05,37,1260,121,0
6951,Stefanija Janković,Trčanje,2025-07-24,51,1463,151,0
6952,Katarina Ristić,Joga,2024-11-04,41,1183,197,0
6953,Jelena Dimitrijević,Biciklizam,2025-02-09,129,1064,198,0
6954,Teodora Knežević,Biciklizam,2024-01-11,19,866,104,0
6955,Nemanja Stanković,Biciklizam,2025-01-30,144,384,80,0
6956,Marija Ristić,Joga,2024-02-16,51,745,188,0
6957,Miloš Jovanović,Plivanje,2024-11-23,129,807,109,0
6958,Stefan Milošević,Biciklizam,2025-10-10,37,447,193,0
6959,Nikolina Milenković,Joga,2024-05-16,56,891,78,0
6960,Jelena Radović,Biciklizam,2025-10-22,12,309,70,0
6961,Stefan Dimitrijević,Biciklizam,2024-02-29,171,1091,124,0
6962,Nikola Stanković,Trčanje,2024-11-16,52,104,86,0
6963,Nemanja Knežević,Teretana,2025-02-08,54,454,161,0
6964,Vesna Dimitrijević,Joga,2024-01-26,60,963,188,0
6965,Marko Milenković,Trčanje,2025-10-05,66,746,178,0
6966,Ivana Nikolić,Trčanje,2024-09-11,88,109,192,0
6967,Danijel Popović,Trčanje,2024-10-21,166,824,118,0
6968,Stefanija Lukić,Plivanje,2025-08-06,146,395,102,0
6969,Nemanja Stojić,Teretana,2025-05-01,14,697,130,0
6970,Kristina Nikolić,Biciklizam,2024-05-11,41,125,185,0
6971,Katarina Lukić,Plivanje,2025-01-11,122,761,137,0
6972,Milan Milenković,Biciklizam,2025-04-22,134,1041,183,0
6973,Jelena Božić,Trčanje,2024-11-16,179,337,109,0
6974,Petar Vuković,Teretana,2025-12-20,69,131,142,0
6975,Marija Stojić,Teretana,2025-04-07,171,1366,200,0
6976,Jovana Božić,Teretana,2025-06-04,30,330,84,0
6977,Marko Miladinović,Plivanje,2025-12-25,52,743,189,0
6978,Jelena Janković,Joga,2025-05-23,41,612,141,0
6979,Luka Vuković,Trčanje,2025-04-09,25,1489,129,0
6980,Jelena Jovanović,Joga,2024-03-08,126,1167,145,0
6981,Petar Vukić,Plivanje,2025-01-26,160,566,113,0
6982,Ivana Milošević,Trčanje,2025-02-16,86,62,195,0
6983,Stefan Milenković,Trčanje,2024-06-14,77,1172,113,0
6984,Jelena Milenković,Plivanje,2025-04-21,39,1493,94,0
6985,Milan Đorđević,Plivanje,2025-05-28,160,950,164,0
6986,Dragana Ilić,Teretana,2024-05-17,71,937,62,0
6987,Stefan Knežević,Joga,2025-07-18,154,1447,166,0
6988,Stefan Simić,Plivanje,2024-12-14,90,923,69,0
6989,Miloš Ilić,Teretana,2024-04-19,135,773,150,0
6990,Marko Miladinović,Joga,2025-06-26,110,1439,200,0
6991,Katarina Simić,Teretana,2025-01-14,74,659,86,0
6992,Tanja Vukić,Joga,2024-08-17,96,632,176,0
6993,Luka Radović,Trčanje,2025-05-04,161,689,161,0
6994,Stefan Pavlović,Plivanje,2025-05-15,19,568,125,0
6995,Aleksa Tadić,Teretana,2025-09-04,127,684,151,0
6996,Nikola Matić,Biciklizam,2025-02-26,40,310,198,0
6997,Teodora Radanović,Joga,2025-03-04,178,1210,108,0
6998,Marija Jovanović,Plivanje,2025-09-18,80,1247,119,0
6999,Filip Popović,Joga,2024-04-30,155,1309,163,0
7000,Milica Simić,Biciklizam,2024-10-19,74,800,190,0
7001,Vladimir Matić,Biciklizam,2024-12-16,62,762,92,0
7002,Ivana Marković,Joga,2025-12-24,173,1266,102,0
7003,Sara Popović,Plivanje,2024-04-23,169,384,95,0
7004,Aleksa Vasić,Biciklizam,2025-04-08,104,1455,175,0
7005,Aleksa Jovanović,Trčanje,2024-04-16,17,450,168,0
7006,Dragana Jovanović,Trčanje,2025-09-05,41,1181,176,0
7007,Miloš Petrović,Biciklizam,2024-03-23,129,203,186,0
7008,Sara Miladinović,Biciklizam,2025-05-25,127,840,158,0
7009,Milan Ristić,Plivanje,2025-11-14,36,1156,153,0
7010,Katarina Jovanović,Joga,2024-02-22,82,649,81,0
7011,Milica Stanković,Joga,2025-03-16,76,1427,82,0
7012,Jelena Ilić,Plivanje,2025-06-22,105,92,156,0
7013,Marko Milošević,Joga,2024-10-28,172,976,142,0
7014,Luka Lukić,Plivanje,2025-11-29,71,587,121,0
7015,Nikolina Simić,Biciklizam,2025-07-06,135,855,61,0
7016,Tanja Nikolić,Joga,2025-03-18,96,500,127,0
7017,Nikolina Nikolić,Teretana,2025-03-18,69,1432,81,0
7018,Ivana Popović,Joga,2024-09-15,30,372,160,0
7019,Danijel Đorđević,Teretana,2024-11-21,118,558,127,0
7020,Ivana Radanović,Joga,2024-12-27,129,1172,189,0
7021,Kristina Matić,Trčanje,2025-07-18,179,512,108,0
7022,Ana Vasić,Biciklizam,2025-02-21,102,81,165,0
7023,Stefanija Ilić,Teretana,2025-02-24,21,628,77,0
7024,Jelena Knežević,Joga,2025-10-20,73,1047,150,0
7025,Miloš Pavlović,Joga,2025-07-01,13,696,127,0
7026,Kristina Jovanović,Biciklizam,2025-08-10,125,401,105,0
7027,Danijel Stanković,Biciklizam,2025-02-02,105,1182,68,0
7028,Stefan Aleksić,Biciklizam,2024-11-10,160,1222,197,0
7029,Marko Kovačević,Joga,2024-03-29,179,862,77,0
7030,Stefanija Matić,Biciklizam,2024-07-19,159,1480,129,0
7031,Nemanja Jovanović,Plivanje,2025-01-02,94,1033,87,0
7032,Milica Petrović,Teretana,2025-02-11,178,1255,122,0
7033,Marko Jovanović,Teretana,2024-10-19,154,852,113,0
7034,Ivana Jovanović,Teretana,2024-08-05,19,662,195,0
7035,Jelena Vuković,Teretana,2025-10-06,111,1244,192,0
7036,Vesna Pavlović,Teretana,2025-07-17,131,618,143,0
7037,Jelena Ristić,Joga,2025-08-31,73,1097,137,0
7038,Kristina Vuković,Joga,2024-11-30,71,974,68,0
7039,Ana Milošević,Trčanje,2024-03-15,73,492,69,0
7040,Jovana Petrović,Plivanje,2024-01-14,114,1435,122,0
7041,Teodora Stanković,Teretana,2025-09-02,42,548,129,0
7042,Danijel Tadić,Plivanje,2025-08-20,98,541,160,0
7043,Milan Dimitrijević,Teretana,2024-07-31,178,718,115,0
7044,Ivana Milenković,Biciklizam,2025-10-01,48,373,130,0
7045,Sara Radanović,Plivanje,2025-04-06,13,357,125,0
7046,Nemanja Radović,Joga,2024-05-14,167,258,128,0
7047,Marko Vasić,Teretana,2025-10-31,28,782,159,0
7048,Katarina Knežević,Teretana,2024-02-03,82,363,151,0
7049,Filip Milošević,Joga,2024-10-30,16,729,125,0
7050,Milan Simić,Trčanje,2025-02-16,133,381,88,0
7051,Luka Jovanović,Teretana,2025-08-03,132,311,153,0
7052,Danijel Vasić,Plivanje,2024-02-17,150,674,113,0
7053,Milica Dimitrijević,Plivanje,2025-11-24,147,175,84,0
7054,Luka Popović,Teretana,2025-09-29,167,448,69,0
7055,Ivana Petrović,Plivanje,2025-06-07,14,1001,139,0
7056,Teodora Dimitrijević,Joga,2024-01-03,46,1150,90,0
7057,Dragana Kovačević,Biciklizam,2025-09-12,50,219,143,0
7058,Nikolina Matić,Joga,2024-11-03,160,1287,178,0
7059,Vesna Petrović,Biciklizam,2024-04-14,55,1378,187,0
7060,Aleksandar Aleksić,Trčanje,2024-09-16,160,608,122,0
7061,Kristina Janković,Joga,2024-11-15,47,406,133,0
7062,Vladimir Dimitrijević,Teretana,2024-12-16,94,426,96,0
7063,Miloš Lukić,Joga,2024-02-25,73,523,66,0
7064,Milica Tadić,Joga,2024-11-18,175,995,127,0
7065,Katarina Matić,Teretana,2024-09-17,161,792,122,0
7066,Miloš Đorđević,Trčanje,2025-09-13,87,748,106,0
7067,Jovana Vukić,Joga,2024-05-15,94,1184,117,0
7068,Sara Marković,Teretana,2024-12-28,102,1085,130,0
7069,Jovana Milošević,Biciklizam,2024-02-13,48,404,95,0
7070,Stefan Božić,Trčanje,2024-02-28,50,879,117,0
7071,Vladimir Pavlović,Joga,2024-12-14,74,255,173,0
7072,Ana Nikolić,Biciklizam,2024-07-30,56,633,193,0
7073,Jovana Simić,Biciklizam,2025-11-30,137,649,184,0
7074,Nikolina Tadić,Joga,2024-02-07,166,267,74,0
7075,Ana Marković,Plivanje,2024-05-05,62,1031,63,0
7076,Katarina Nikolić,Trčanje,2025-04-09,178,1188,140,0
7077,Sara Milenković,Teretana,2024-12-12,89,757,66,0
7078,Jovana Lukić,Teretana,2024-06-04,172,1063,119,0
7079,Ivana Matić,Trčanje,2024-12-25,90,1084,118,0
7080,Milan Ilić,Trčanje,2024-10-31,161,938,88,0
7081,Marija Kovačević,Joga,2025-03-05,50,1421,70,0
7082,Milan Stanković,Biciklizam,2025-02-19,114,1471,133,0
7083,Aleksandar Popović,Teretana,2025-12-02,33,117,132,0
7084,Ana Milenković,Biciklizam,2025-06-01,133,1020,187,0
7085,Miloš Vuković,Biciklizam,2024-06-20,78,802,145,0
7086,Jelena Petrović,Joga,2024-01-26,71,1272,100,0
7087,Danijel Nikolić,Trčanje,2025-06-14,29,1199,105,0
7088,Aleksandar Nikolić,Plivanje,2024-03-25,53,1272,69,0
7089,Tanja Stanković,Trčanje,2024-04-08,166,1499,142,0
7090,Tanja Knežević,Teretana,2024-01-09,119,930,95,0
7091,Katarina Tadić,Joga,2025-03-05,84,888,75,0
7092,Nemanja Ilić,Plivanje,2025-02-28,159,1470,117,0
7093,Petar Stanković,Joga,2024-03-31,68,122,170,0
7094,Marko Janković,Biciklizam,2024-01-12,152,163,169,0
7095,Jovana Marković,Trčanje,2025-11-29,38,1263,114,0
7096,Marko Lukić,Trčanje,2025-05-10,19,1233,133,0
7097,Ivana Janković,Joga,2024-09-05,48,688,163,0
7098,Nikola Knežević,Trčanje,2025-02-04,111,1288,169,0
7099,Ivana Kovačević,Joga,2024-02-25,91,257,80,0
7100,Aleksa Marković,Teretana,2025-03-31,160,1179,122,0
7101,Luka Vukić,Trčanje,2025-10-27,44,714,128,0
7102,Tanja Popović,Biciklizam,2024-06-06,33,1085,97,0
7103,Dragana Radanović,Teretana,2024-04-16,139,1064,129,0
7104,Ana Aleksić,Trčanje,2024-02-24,90,1057,179,0
7105,Jovana Jovanović,Joga,2025-12-02,150,516,61,0
7106,Teodora Vukić,Biciklizam,2024-08-12,11,463,157,0
7107,Aleksandar Milošević,Teretana,2025-12-06,159,1078,71,0
7108,Danijel Dimitrijević,Biciklizam,2024-04-05,107,274,142,0
7109,Marko Knežević,Teretana,2025-03-06,55,1403,166,0
7110,Milan Jovanović,Plivanje,2025-02-14,138,446,70,0
7111,Stefanija Stojić,Joga,2024-10-02,45,1052,172,0
7112,Aleksa Vukić,Joga,2025-10-12,96,441,68,0
7113,Danijel Vukić,Teretana,2025-09-29,84,605,75,0
7114,Aleksandar Ilić,Joga,2025-06-18,63,695,80,0
7115,Aleksandar Tadić,Joga,2025-10-14,180,331,191,0
7116,Marko Knežević,Teretana,2024-05-17,77,450,169,0
7117,Danijel Ristić,Trčanje,2025-08-24,167,271,175,0
7118,Ana Đorđević,Biciklizam,2024-12-03,38,346,61,0
7119,Milan Petrović,Biciklizam,2025-09-23,24,347,163,0
7120,Nikola Aleksić,Joga,2025-05-24,17,230,96,0
7121,Ivana Ilić,Trčanje,2025-01-08,172,967,164,0
7122,Nikolina Radović,Trčanje,2024-07-23,126,156,82,0
7123,Kristina Božić,Teretana,2025-05-03,44,103,117,0
7124,Marko Nikolić,Joga,2025-02-22,153,366,148,0
7125,Stefanija Knežević,Trčanje,2024-04-10,29,651,198,0
7126,Vesna Miladinović,Biciklizam,2024-07-12,159,1139,64,0
7127,Vladimir Ristić,Biciklizam,2025-07-04,140,706,157,0
7128,Dragana Stanković,Biciklizam,2025-07-16,162,1000,69,0
7129,Luka Matić,Teretana,2024-01-06,80,1008,126,0
7130,Filip Milenković,Teretana,2025-04-01,92,889,174,0
7131,Luka Milošević,Teretana,2024-06-26,143,135,75,0
7132,Danijel Milošević,Teretana,2024-05-18,163,1098,96,0
7133,Aleksa Stojić,Trčanje,2024-09-14,50,1329,140,0
7134,Jelena Simić,Joga,2024-06-17,56,456,64,0
7135,Danijel Radović,Biciklizam,2024-07-12,142,1405,96,0
7136,Danijel Radanović,Biciklizam,2024-12-05,166,1370,122,0
7137,Ivana Stojić,Joga,2024-02-02,17,751,137,0
7138,Teodora Pavlović,Teretana,2025-08-21,78,491,76,0
7139,Marija Knežević,Plivanje,2025-05-04,49,478,156,0
7140,Nikola Vuković,Biciklizam,2025-07-21,134,362,152,0
7141,Katarina Miladinović,Teretana,2024-01-07,24,1087,72,0
7142,Jelena Aleksić,Biciklizam,2025-04-24,103,624,108,0
7143,Dragana Simić,Plivanje,2024-03-18,163,1226,64,0
7144,Luka Nikolić,Trčanje,2025-03-07,82,1397,174,0
7145,Ana Simić,Biciklizam,2024-12-06,104,474,151,0
7146,Katarina Kovačević,Trčanje,2025-07-04,75,1174,127,0
7147,Sara Ilić,Biciklizam,2025-01-21,157,709,140,0
7148,Marija Aleksić,Joga,2024-02-16,130,610,86,0
7149,Aleksa Božić,Plivanje,2025-05-13,81,1458,63,0
7150,Danijel Ilić,Trčanje,2025-02-17,54,1127,143,0
7151,Nemanja Jovanović,Biciklizam,2024-06-12,19,887,94,0
7152,Dragana Jovanović,Teretana,2024-04-28,123,1319,88,0
7153,Miloš Marković,Joga,2025-09-18,164,794,157,0
7154,Sara Lukić,Biciklizam,2024-09-13,98,615,128,0
7155,Ivana Stanković,Trčanje,2025-01-14,80,317,109,0
7156,Vesna Nikolić,Trčanje,2024-07-12,52,1338,167,0
7157,Jelena Miladinović,Joga,2025-06-23,103,283,145,0
7158,Aleksandar Božić,Joga,2024-09-23,169,1220,144,0
7159,Marija Simić,Biciklizam,2024-05-08,66,509,119,0
7160,Tanja Simić,Biciklizam,2024-01-16,95,1223,152,0
7161,Nikola Ristić,Joga,2024-06-08,169,830,193,0
7162,Nikolina Jovanović,Plivanje,2024-02-25,35,1130,96,0
7163,Vladimir Milošević,Plivanje,2025-02-19,144,108,68,0
7164,Marija Matić,Trčanje,2024-02-07,68,1280,120,0
7165,Petar Stojić,Joga,2024-04-23,177,738,60,0
7166,Danijel Stojić,Joga,2025-06-17,81,1272,96,0
7167,Nikola Ilić,Teretana,2025-09-04,111,1094,167,0
7168,Filip Marković,Plivanje,2025-04-13,143,1330,115,0
7169,Ana Kovačević,Teretana,2025-06-28,33,81,104,0
7170,Vesna Radović,Trčanje,2025-03-30,29,496,159,0
7171,Aleksandar Knežević,Trčanje,2024-01-22,33,872,98,0
7172,Katarina Jovanović,Trčanje,2024-08-16,62,489,196,0
7173,Marko Ristić,Biciklizam,2024-03-22,57,1364,85,0
7174,Nikola Marković,Plivanje,2024-12-12,154,1390,148,0
7175,Nemanja Milošević,Trčanje,2025-09-02,31,571,136,0
7176,Milan Milošević,Plivanje,2025-12-09,26,948,98,0
7177,Nikola Petrović,Biciklizam,2024-02-01,32,161,85,0
7178,Jovana Stanković,Trčanje,2024-01-20,25,109,98,0
7179,Miloš Tadić,Biciklizam,2025-08-19,165,83,129,0
7180,Petar Tadić,Trčanje,2024-05-23,126,552,134,0
7181,Nemanja Dimitrijević,Plivanje,2024-05-21,98,260,165,0
7182,Katarina Đorđević,Joga,2025-03-16,107,340,64,0
7183,Sara Vukić,Teretana,2024-08-22,163,170,125,0
7184,Kristina Milenković,Trčanje,2025-02-17,38,258,88,0
7185,Sara Simić,Plivanje,2024-02-03,89,953,113,0
7186,Ana Božić,Trčanje,2024-09-12,115,68,115,0
7187,Dragana Radović,Plivanje,2025-03-31,163,334,156,0
7188,Jelena Tadić,Trčanje,2025-06-08,115,428,88,0
7189,Stefanija Vasić,Trčanje,2025-08-08,43,566,93,0
7190,Nikolina Aleksić,Trčanje,2025-03-14,53,1241,69,0
7191,Kristina Tadić,Plivanje,2025-05-29,16,398,63,0
7192,Aleksa Đorđević,Teretana,2025-06-13,135,424,181,0
7193,Ivana Milošević,Biciklizam,2024-12-11,80,321,180,0
7194,Sara Nikolić,Biciklizam,2024-10-04,158,807,70,0
